max insolation W/m^2	time (yrs)
213.85	0.00
215.54	-1000.00
217.75	-2000.00
220.57	-3000.00
223.66	-4000.00
227.13	-5000.00
230.91	-6000.00
234.83	-7000.00
238.90	-8000.00
243.00	-9000.00
247.19	-10000.00
251.24	-11000.00
255.18	-12000.00
258.99	-13000.00
262.53	-14000.00
265.77	-15000.00
268.75	-16000.00
271.23	-17000.00
273.30	-18000.00
274.93	-19000.00
276.01	-20000.00
276.47	-21000.00
276.45	-22000.00
275.85	-23000.00
274.60	-24000.00
272.81	-25000.00
270.48	-26000.00
267.59	-27000.00
264.25	-28000.00
260.42	-29000.00
256.23	-30000.00
251.59	-31000.00
246.77	-32000.00
241.71	-33000.00
236.37	-34000.00
231.04	-35000.00
225.72	-36000.00
220.42	-37000.00
215.28	-38000.00
210.41	-39000.00
205.88	-40000.00
201.75	-41000.00
198.16	-42000.00
195.18	-43000.00
192.82	-44000.00
191.27	-45000.00
190.53	-46000.00
190.57	-47000.00
191.53	-48000.00
193.34	-49000.00
195.96	-50000.00
199.35	-51000.00
203.49	-52000.00
208.27	-53000.00
213.63	-54000.00
219.56	-55000.00
225.87	-56000.00
232.55	-57000.00
239.61	-58000.00
246.76	-59000.00
254.09	-60000.00
261.41	-61000.00
268.78	-62000.00
275.87	-63000.00
282.74	-64000.00
289.41	-65000.00
295.46	-66000.00
301.08	-67000.00
306.18	-68000.00
310.51	-69000.00
314.18	-70000.00
317.07	-71000.00
319.23	-72000.00
320.47	-73000.00
320.92	-74000.00
320.62	-75000.00
319.43	-76000.00
317.48	-77000.00
314.89	-78000.00
311.44	-79000.00
307.38	-80000.00
302.78	-81000.00
297.65	-82000.00
292.02	-83000.00
286.11	-84000.00
279.96	-85000.00
273.59	-86000.00
267.30	-87000.00
261.04	-88000.00
254.88	-89000.00
249.10	-90000.00
243.69	-91000.00
238.79	-92000.00
234.36	-93000.00
230.71	-94000.00
227.77	-95000.00
225.52	-96000.00
224.21	-97000.00
223.63	-98000.00
223.84	-99000.00
224.87	-100000.00
226.49	-101000.00
228.73	-102000.00
231.50	-103000.00
234.68	-104000.00
238.13	-105000.00
241.81	-106000.00
245.68	-107000.00
249.55	-108000.00
253.37	-109000.00
257.20	-110000.00
260.76	-111000.00
264.13	-112000.00
267.34	-113000.00
270.11	-114000.00
272.55	-115000.00
274.68	-116000.00
276.38	-117000.00
277.62	-118000.00
278.40	-119000.00
278.86	-120000.00
278.77	-121000.00
278.30	-122000.00
277.40	-123000.00
276.12	-124000.00
274.38	-125000.00
272.31	-126000.00
269.91	-127000.00
267.06	-128000.00
264.00	-129000.00
260.66	-130000.00
256.98	-131000.00
253.16	-132000.00
249.16	-133000.00
245.04	-134000.00
240.82	-135000.00
236.59	-136000.00
232.41	-137000.00
228.29	-138000.00
224.36	-139000.00
220.66	-140000.00
217.15	-141000.00
214.11	-142000.00
211.47	-143000.00
209.27	-144000.00
207.71	-145000.00
206.79	-146000.00
206.58	-147000.00
207.09	-148000.00
208.42	-149000.00
210.54	-150000.00
213.36	-151000.00
216.99	-152000.00
221.24	-153000.00
226.10	-154000.00
231.55	-155000.00
237.42	-156000.00
243.64	-157000.00
250.16	-158000.00
256.87	-159000.00
263.60	-160000.00
270.32	-161000.00
276.96	-162000.00
283.24	-163000.00
289.25	-164000.00
294.85	-165000.00
299.83	-166000.00
304.23	-167000.00
307.99	-168000.00
310.99	-169000.00
313.16	-170000.00
314.51	-171000.00
315.14	-172000.00
314.71	-173000.00
313.49	-174000.00
311.57	-175000.00
308.57	-176000.00
304.92	-177000.00
300.53	-178000.00
295.45	-179000.00
289.75	-180000.00
283.49	-181000.00
276.96	-182000.00
269.92	-183000.00
262.79	-184000.00
255.55	-185000.00
248.21	-186000.00
241.01	-187000.00
233.99	-188000.00
227.24	-189000.00
220.76	-190000.00
214.81	-191000.00
209.34	-192000.00
204.39	-193000.00
200.16	-194000.00
196.56	-195000.00
193.72	-196000.00
191.68	-197000.00
190.42	-198000.00
189.93	-199000.00
190.27	-200000.00
191.40	-201000.00
193.19	-202000.00
195.60	-203000.00
198.71	-204000.00
202.27	-205000.00
206.26	-206000.00
210.70	-207000.00
215.37	-208000.00
220.27	-209000.00
225.38	-210000.00
230.48	-211000.00
235.63	-212000.00
240.66	-213000.00
245.65	-214000.00
250.35	-215000.00
254.76	-216000.00
258.94	-217000.00
262.68	-218000.00
266.01	-219000.00
268.92	-220000.00
271.30	-221000.00
273.17	-222000.00
274.54	-223000.00
275.33	-224000.00
275.48	-225000.00
275.18	-226000.00
274.35	-227000.00
272.94	-228000.00
271.05	-229000.00
268.76	-230000.00
266.07	-231000.00
262.98	-232000.00
259.65	-233000.00
256.13	-234000.00
252.33	-235000.00
248.52	-236000.00
244.71	-237000.00
240.80	-238000.00
237.13	-239000.00
233.60	-240000.00
230.31	-241000.00
227.38	-242000.00
224.84	-243000.00
222.84	-244000.00
221.28	-245000.00
220.42	-246000.00
220.18	-247000.00
220.58	-248000.00
221.73	-249000.00
223.52	-250000.00
225.95	-251000.00
229.08	-252000.00
232.74	-253000.00
236.88	-254000.00
241.56	-255000.00
246.63	-256000.00
251.99	-257000.00
257.60	-258000.00
263.48	-259000.00
269.43	-260000.00
275.37	-261000.00
281.38	-262000.00
287.26	-263000.00
292.95	-264000.00
298.47	-265000.00
303.70	-266000.00
308.54	-267000.00
312.96	-268000.00
317.04	-269000.00
320.41	-270000.00
323.29	-271000.00
325.61	-272000.00
327.14	-273000.00
328.07	-274000.00
328.19	-275000.00
327.67	-276000.00
326.31	-277000.00
324.27	-278000.00
321.62	-279000.00
318.11	-280000.00
314.09	-281000.00
309.50	-282000.00
304.25	-283000.00
298.61	-284000.00
292.60	-285000.00
286.19	-286000.00
279.50	-287000.00
272.76	-288000.00
265.93	-289000.00
259.10	-290000.00
252.45	-291000.00
246.10	-292000.00
240.04	-293000.00
234.52	-294000.00
229.57	-295000.00
225.23	-296000.00
221.66	-297000.00
218.90	-298000.00
216.97	-299000.00
215.82	-300000.00
215.57	-301000.00
216.06	-302000.00
217.19	-303000.00
219.00	-304000.00
221.20	-305000.00
223.84	-306000.00
226.77	-307000.00
229.80	-308000.00
232.91	-309000.00
235.98	-310000.00
239.05	-311000.00
241.79	-312000.00
244.32	-313000.00
246.66	-314000.00
248.52	-315000.00
250.06	-316000.00
251.21	-317000.00
251.90	-318000.00
252.15	-319000.00
251.98	-320000.00
251.37	-321000.00
250.26	-322000.00
248.76	-323000.00
246.95	-324000.00
244.69	-325000.00
242.10	-326000.00
239.28	-327000.00
236.24	-328000.00
232.98	-329000.00
229.60	-330000.00
226.16	-331000.00
222.60	-332000.00
219.11	-333000.00
215.63	-334000.00
212.17	-335000.00
208.88	-336000.00
205.68	-337000.00
202.70	-338000.00
199.87	-339000.00
197.34	-340000.00
195.09	-341000.00
193.11	-342000.00
191.56	-343000.00
190.40	-344000.00
189.64	-345000.00
189.47	-346000.00
189.84	-347000.00
190.78	-348000.00
192.40	-349000.00
194.72	-350000.00
197.71	-351000.00
201.39	-352000.00
205.79	-353000.00
210.84	-354000.00
216.44	-355000.00
222.69	-356000.00
229.42	-357000.00
236.51	-358000.00
244.08	-359000.00
251.83	-360000.00
259.85	-361000.00
267.98	-362000.00
276.18	-363000.00
284.26	-364000.00
292.23	-365000.00
300.08	-366000.00
307.46	-367000.00
314.51	-368000.00
