maxins_wm2,time_y
214.01,0
215.66,-1000
218.03,-2000
220.76,-3000
223.78,-4000
227.15,-5000
230.79,-6000
235.02,-7000
238.89,-8000
243.26,-9000
247.15,-10000
251.51,-11000
254.96,-12000
259.06,-13000
262.46,-14000
265.87,-15000
268.92,-16000
271.39,-17000
273.45,-18000
275.07,-19000
276.2,-20000
276.61,-21000
276.53,-22000
275.94,-23000
274.63,-24000
272.79,-25000
270.33,-26000
267.46,-27000
264.03,-28000
260.14,-29000
256.48,-30000
251.75,-31000
246.78,-32000
241.9,-33000
236.45,-34000
230.87,-35000
225.77,-36000
220.53,-37000
215.06,-38000
210.58,-39000
205.59,-40000
201.73,-41000
198.27,-42000
195.38,-43000
192.61,-44000
191.15,-45000
190.37,-46000
190.76,-47000
191.67,-48000
193.28,-49000
196.11,-50000
199.21,-51000
203.56,-52000
208.46,-53000
213.81,-54000
219.68,-55000
225.87,-56000
232.41,-57000
239.74,-58000
247,-59000
254.08,-60000
261.21,-61000
268.4,-62000
275.76,-63000
282.45,-64000
289.38,-65000
295.79,-66000
300.8,-67000
306.2,-68000
310.78,-69000
314.26,-70000
317.65,-71000
318.87,-72000
320.09,-73000
321.18,-74000
321,-75000
319.23,-76000
317.37,-77000
315.19,-78000
311.44,-79000
307.13,-80000
303.32,-81000
298.1,-82000
291.58,-83000
285.86,-84000
279.97,-85000
273.5,-86000
267.47,-87000
261.25,-88000
255.24,-89000
249.12,-90000
243.95,-91000
238.86,-92000
234.07,-93000
230.42,-94000
227.57,-95000
225.5,-96000
224.39,-97000
223.55,-98000
223.63,-99000
225.02,-100000
226.58,-101000
228.92,-102000
231.34,-103000
234.64,-104000
238.27,-105000
241.72,-106000
245.88,-107000
249.62,-108000
253.31,-109000
257.07,-110000
260.53,-111000
264.52,-112000
267.39,-113000
270.19,-114000
272.62,-115000
274.72,-116000
276.23,-117000
277.77,-118000
278.35,-119000
278.61,-120000
278.88,-121000
278.05,-122000
277.36,-123000
276.23,-124000
274.56,-125000
272.47,-126000
270.02,-127000
267.18,-128000
263.82,-129000
260.89,-130000
256.74,-131000
253.11,-132000
249.24,-133000
245.16,-134000
240.89,-135000
236.5,-136000
232.38,-137000
228.4,-138000
224.03,-139000
220.58,-140000
217.3,-141000
214.4,-142000
211.38,-143000
209.24,-144000
207.61,-145000
206.81,-146000
206.57,-147000
207.1,-148000
208.49,-149000
210.66,-150000
213.6,-151000
216.83,-152000
221.14,-153000
226.18,-154000
231.29,-155000
237.39,-156000
243.86,-157000
250.23,-158000
256.8,-159000
263.38,-160000
270.21,-161000
276.45,-162000
283.09,-163000
289.52,-164000
294.57,-165000
300.33,-166000
304.38,-167000
308.14,-168000
310.98,-169000
313.11,-170000
314.36,-171000
315.1,-172000
315.01,-173000
313.43,-174000
311.94,-175000
308.26,-176000
305.22,-177000
300.48,-178000
295.55,-179000
289.86,-180000
283.41,-181000
276.61,-182000
269.54,-183000
262.75,-184000
255.39,-185000
247.99,-186000
240.95,-187000
234.31,-188000
227.33,-189000
220.61,-190000
214.85,-191000
209.42,-192000
204.24,-193000
200.4,-194000
196.55,-195000
193.71,-196000
191.61,-197000
190.62,-198000
189.83,-199000
190.3,-200000
191.51,-201000
193.23,-202000
195.55,-203000
198.46,-204000
202.31,-205000
206.41,-206000
210.91,-207000
215.55,-208000
220.37,-209000
225.3,-210000
230.64,-211000
235.5,-212000
240.59,-213000
245.77,-214000
250.36,-215000
254.88,-216000
258.86,-217000
262.55,-218000
265.85,-219000
268.69,-220000
271.52,-221000
273.24,-222000
274.49,-223000
275.21,-224000
275.29,-225000
275.39,-226000
274.63,-227000
273.15,-228000
271.19,-229000
268.73,-230000
266.2,-231000
263.27,-232000
259.56,-233000
256.12,-234000
252.46,-235000
248.19,-236000
244.74,-237000
240.48,-238000
237.16,-239000
233.55,-240000
230.19,-241000
227.23,-242000
224.66,-243000
222.8,-244000
221.3,-245000
220.51,-246000
220.37,-247000
220.45,-248000
221.83,-249000
223.36,-250000
225.97,-251000
228.91,-252000
232.8,-253000
236.77,-254000
241.72,-255000
246.66,-256000
251.83,-257000
257.77,-258000
263.5,-259000
269.32,-260000
275.28,-261000
281.68,-262000
287.3,-263000
293.1,-264000
298.29,-265000
303.75,-266000
308.82,-267000
312.96,-268000
316.65,-269000
319.84,-270000
323.1,-271000
326.06,-272000
327.53,-273000
327.66,-274000
327.9,-275000
327.46,-276000
326.41,-277000
323.9,-278000
321.65,-279000
317.92,-280000
314.14,-281000
309.58,-282000
304,-283000
298.52,-284000
292.25,-285000
286.28,-286000
279.62,-287000
272.42,-288000
265.8,-289000
258.87,-290000
252.67,-291000
246.39,-292000
240.11,-293000
234.43,-294000
229.84,-295000
225.23,-296000
221.8,-297000
219.17,-298000
216.86,-299000
215.9,-300000
215.49,-301000
216.28,-302000
217.34,-303000
219.06,-304000
221.32,-305000
223.61,-306000
226.69,-307000
229.93,-308000
232.81,-309000
236.2,-310000
239.09,-311000
241.74,-312000
244.48,-313000
246.74,-314000
248.51,-315000
250.25,-316000
251.24,-317000
252.1,-318000
251.92,-319000
251.85,-320000
251.25,-321000
250.06,-322000
249.04,-323000
246.92,-324000
244.91,-325000
242.34,-326000
239.33,-327000
236.12,-328000
233.09,-329000
229.71,-330000
226.09,-331000
222.63,-332000
218.96,-333000
215.98,-334000
211.91,-335000
209.12,-336000
205.71,-337000
202.79,-338000
199.5,-339000
197.12,-340000
195.16,-341000
193.01,-342000
191.59,-343000
190.42,-344000
189.59,-345000
189.26,-346000
189.97,-347000
190.61,-348000
192.31,-349000
194.65,-350000
197.63,-351000
201.21,-352000
205.9,-353000
210.78,-354000
216.28,-355000
222.8,-356000
229.3,-357000
236.69,-358000
244.03,-359000
251.62,-360000
259.97,-361000
267.99,-362000
276.15,-363000
284.27,-364000
292.23,-365000
299.97,-366000
307.51,-367000
314.65,-368000
321.1,-369000
327.42,-370000
332.86,-371000
337.56,-372000
341.45,-373000
344.81,-374000
347.56,-375000
349.09,-376000
349.89,-377000
350.01,-378000
349.63,-379000
348.46,-380000
346.07,-381000
343.21,-382000
339.87,-383000
335.98,-384000
331.27,-385000
325.94,-386000
320.28,-387000
314.98,-388000
308.7,-389000
302.98,-390000
296.83,-391000
290.92,-392000
284.41,-393000
279.16,-394000
273.9,-395000
268.85,-396000
264.43,-397000
260.54,-398000
257.62,-399000
255.39,-400000
253.62,-401000
252.59,-402000
252.45,-403000
252.96,-404000
254.31,-405000
256.09,-406000
258.55,-407000
261.54,-408000
264.3,-409000
267.86,-410000
271.16,-411000
274.5,-412000
277.97,-413000
